case,breakthrough_step,final_water_cut_pct,recovery_factor_pct,swept_fraction_pct,treated_cells,connected_high_k_pct
Polymer - untreated,74,40.72865883334611,44.758084416389465,88.90625,0,37.875
Polymer + gel,78,31.557700875545457,44.488951563835144,89.40625,347,37.875
